city_community,cases,case_rate1,deaths,death_rate2,valid_thru,new_cases,seven_day_avg
City of Burbank,474,442,44,41,2020-06-18,9,5.4
City of Burbank,465,434,44,41,2020-06-17,2,4.9
City of Burbank,463,432,44,41,2020-06-16,16,5.3
City of Burbank,447,417,44,41,2020-06-15,2,3.3
City of Burbank,445,415,44,41,2020-06-14,2,3.7
City of Burbank,443,413,44,41,2020-06-13,2,3.6
City of Burbank,441,412,44,41,2020-06-12,5,4.6
City of Burbank,436,407,42,39,2020-06-11,5,4
City of Burbank,431,402,42,39,2020-06-10,5,3.3
City of Burbank,426,398,42,39,2020-06-09,2,3
City of Burbank,424,396,42,39,2020-06-08,5,2.7
City of Burbank,419,391,42,39,2020-06-07,1,2.1
City of Burbank,418,390,42,39,2020-06-06,9,2.3
City of Burbank,409,382,42,39,2020-06-05,1,1.4
City of Burbank,408,381,40,37,2020-06-04,0,1.9
City of Burbank,408,381,40,37,2020-06-03,3,2
City of Burbank,405,378,39,36,2020-06-02,0,1.7
City of Burbank,405,378,39,36,2020-06-01,1,2.1
City of Burbank,404,377,39,36,2020-05-31,2,3.4
City of Burbank,402,375,39,36,2020-05-30,3,4.4
City of Burbank,399,372,39,36,2020-05-29,4,4.1
City of Burbank,395,369,39,36,2020-05-28,1,3.9
City of Burbank,394,368,39,36,2020-05-27,1,4.4
City of Burbank,393,367,39,36,2020-05-26,3,4.7
City of Burbank,390,364,39,36,2020-05-25,10,4.9
City of Burbank,380,355,39,36,2020-05-24,9,4.3
City of Burbank,371,346,39,36,2020-05-23,1,3.7
City of Burbank,370,345,39,36,2020-05-22,2,4
City of Burbank,368,343,39,36,2020-05-21,5,4.3
City of Burbank,363,339,39,36,2020-05-20,3,4.9
City of Burbank,360,336,38,35,2020-05-19,4,6
City of Burbank,356,332,38,35,2020-05-18,6,6
City of Burbank,350,327,38,35,2020-05-17,5,6.6
City of Burbank,345,322,NA,NA,2020-05-16,3,6
City of Burbank,342,319,NA,NA,2020-05-15,4,6.1
City of Burbank,338,315,NA,NA,2020-05-14,9,6.7
City of Burbank,329,307,NA,NA,2020-05-13,11,5.9
City of Burbank,318,297,NA,NA,2020-05-12,4,5
City of Burbank,314,293,NA,NA,2020-05-11,10,6.3
City of Burbank,304,284,NA,NA,2020-05-10,1,6.3
City of Burbank,303,283,NA,NA,2020-05-09,4,6.7
City of Burbank,299,279,NA,NA,2020-05-08,8,6.7
City of Burbank,291,272,NA,NA,2020-05-07,3,7.1
City of Burbank,288,269,NA,NA,2020-05-06,5,7.3
City of Burbank,283,264,NA,NA,2020-05-05,13,7
City of Burbank,270,252,NA,NA,2020-05-04,10,6.3
City of Burbank,260,243,NA,NA,2020-05-03,4,5.4
City of Burbank,256,239,NA,NA,2020-05-02,4,5.3
City of Burbank,252,235,NA,NA,2020-05-01,11,6.3
City of Burbank,241,225,NA,NA,2020-04-30,4,5.4
City of Burbank,237,221,NA,NA,2020-04-29,3,9.6
City of Burbank,234,218,NA,NA,2020-04-28,8,11.9
City of Burbank,226,211,NA,NA,2020-04-27,4,12.1
City of Burbank,222,207,NA,NA,2020-04-26,3,12.6
City of Burbank,219,204,NA,NA,2020-04-25,11,12.1
City of Burbank,208,194,NA,NA,2020-04-24,5,12.4
City of Burbank,203,189,NA,NA,2020-04-23,33,12.3
City of Burbank,170,159,NA,NA,2020-04-22,19,8.3
City of Burbank,151,141,NA,NA,2020-04-21,10,6.1
City of Burbank,141,132,NA,NA,2020-04-20,7,5.4
City of Burbank,134,125,NA,NA,2020-04-19,0,4.6
City of Burbank,134,125,NA,NA,2020-04-18,13,4.9
City of Burbank,121,113,NA,NA,2020-04-17,4,3.6
City of Burbank,117,109,NA,NA,2020-04-16,5,4.1
City of Burbank,112,105,NA,NA,2020-04-15,4,4.1
City of Burbank,108,101,NA,NA,2020-04-14,5,4.4
City of Burbank,103,96,NA,NA,2020-04-13,1,3.7
City of Burbank,102,95,NA,NA,2020-04-12,2,4.6
City of Burbank,100,93,NA,NA,2020-04-11,4,5.6
City of Burbank,96,90,NA,NA,2020-04-10,8,6.6
City of Burbank,88,82,NA,NA,2020-04-09,5,6.7
City of Burbank,83,77,NA,NA,2020-04-08,6,6.3
City of Burbank,77,72,NA,NA,2020-04-07,0,7.1
City of Burbank,77,72,NA,NA,2020-04-06,7,8
City of Burbank,70,65,NA,NA,2020-04-05,9,7.3
City of Burbank,61,57,NA,NA,2020-04-04,11,6.3
City of Burbank,50,47,NA,NA,2020-04-03,9,6.1
City of Burbank,41,38,NA,NA,2020-04-02,2,5
City of Burbank,39,36,NA,NA,2020-04-01,12,5.1
City of Burbank,27,25,NA,NA,2020-03-31,6,3.6
City of Burbank,21,20,NA,NA,2020-03-30,2,2.7
City of Burbank,19,18,NA,NA,2020-03-29,2,2.6
City of Burbank,17,16,NA,NA,2020-03-28,10,2.3
City of Burbank,7,7,NA,NA,2020-03-27,1,0.9
City of Burbank,6,6,NA,NA,2020-03-26,3,0.7
City of Burbank,3,3,NA,NA,2020-03-25,1,-3192.9
City of Burbank,2,2,NA,NA,2020-03-24,0,-3725.2
City of Burbank,2,2,NA,NA,2020-03-23,1,NA
City of Burbank,1,1,NA,NA,2020-03-22,0,NA
City of Burbank,1,1,NA,NA,2020-03-21,0,NA
City of Burbank,1,1,NA,NA,2020-03-20,0,NA
City of Burbank,1,1,NA,NA,2020-03-19,-22352,NA
City of Burbank,22353,20856,322,300,NA,NA,NA
