city_community,cases,case_rate1,deaths,death_rate2,valid_thru
City of Burbank,1708,1594,64,60,2020-10-11
City of Burbank,1704,1590,63,59,2020-10-10
City of Burbank,1694,1581,63,59,2020-10-09
City of Burbank,1682,1569,62,58,2020-10-08
City of Burbank,1672,1560,62,58,2020-10-07
City of Burbank,1657,1546,60,56,2020-10-06
City of Burbank,1643,1533,60,56,2020-10-05
City of Burbank,1629,1520,59,55,2020-10-04
City of Burbank,1628,1519,59,55,2020-10-03
City of Burbank,1621,1512,59,55,2020-10-02
City of Burbank,1613,1505,58,54,2020-10-01
City of Burbank,1604,1497,58,54,2020-09-30
City of Burbank,1589,1483,58,54,2020-09-29
City of Burbank,1570,1465,58,54,2020-09-28
City of Burbank,1565,1460,58,54,2020-09-27
City of Burbank,1555,1451,58,54,2020-09-26
City of Burbank,1549,1445,58,54,2020-09-25
City of Burbank,1530,1428,57,53,2020-09-24
City of Burbank,1520,1418,56,52,2020-09-23
City of Burbank,1515,1414,56,52,2020-09-22
City of Burbank,1504,1403,57,53,2020-09-21
City of Burbank,1489,1389,57,53,2020-09-20
City of Burbank,1481,1382,57,53,2020-09-19
City of Burbank,1468,1370,57,53,2020-09-18
City of Burbank,1451,1354,57,53,2020-09-17
City of Burbank,1441,1345,57,53,2020-09-16
City of Burbank,1428,1332,57,53,2020-09-15
City of Burbank,1414,1319,57,53,2020-09-14
City of Burbank,1411,1317,57,53,2020-09-13
City of Burbank,1405,1311,57,53,2020-09-12
City of Burbank,1400,1306,57,53,2020-09-11
City of Burbank,1395,1302,57,53,2020-09-10
City of Burbank,1388,1295,57,53,2020-09-09
City of Burbank,1381,1289,57,53,2020-09-08
City of Burbank,1379,1287,57,53,2020-09-07
City of Burbank,1375,1283,57,53,2020-09-06
City of Burbank,1372,1280,57,53,2020-09-05
City of Burbank,1366,1275,57,53,2020-09-04
City of Burbank,1357,1266,57,53,2020-09-03
City of Burbank,1343,1253,57,53,2020-09-02
City of Burbank,1338,1248,57,53,2020-09-01
City of Burbank,1322,1233,57,53,2020-08-31
City of Burbank,1318,1230,55,51,2020-08-30
City of Burbank,1313,1225,55,51,2020-08-29
City of Burbank,1309,1221,55,51,2020-08-28
City of Burbank,1304,1217,55,51,2020-08-27
City of Burbank,1294,1207,55,51,2020-08-26
City of Burbank,1282,1196,55,51,2020-08-25
City of Burbank,1269,1184,55,51,2020-08-24
City of Burbank,1260,1176,55,51,2020-08-23
City of Burbank,1255,1171,55,51,2020-08-22
City of Burbank,1248,1164,55,51,2020-08-21
City of Burbank,1231,1149,55,51,2020-08-20
City of Burbank,1218,1136,55,51,2020-08-19
City of Burbank,1205,1124,54,50,2020-08-18
City of Burbank,1187,1108,54,50,2020-08-17
City of Burbank,1182,1103,54,50,2020-08-16
City of Burbank,1167,1089,54,50,2020-08-15
City of Burbank,1155,1078,54,50,2020-08-14
City of Burbank,1146,1069,54,50,2020-08-13
City of Burbank,1134,1058,54,50,2020-08-12
City of Burbank,1125,1050,53,49,2020-08-11
City of Burbank,1114,1039,52,49,2020-08-10
City of Burbank,1108,1034,52,49,2020-08-09
City of Burbank,1100,1026,52,49,2020-08-08
City of Burbank,1090,1017,52,49,2020-08-07
City of Burbank,1085,1012,52,49,2020-08-06
City of Burbank,1072,1000,52,49,2020-08-05
City of Burbank,1047,977,52,49,2020-08-04
City of Burbank,1028,959,51,48,2020-08-03
City of Burbank,1021,953,51,48,2020-08-02
City of Burbank,1005,938,51,48,2020-08-01
City of Burbank,998,931,51,48,2020-07-31
City of Burbank,992,926,51,48,2020-07-30
City of Burbank,982,916,51,48,2020-07-29
City of Burbank,968,903,51,48,2020-07-28
City of Burbank,926,864,51,48,2020-07-27
City of Burbank,922,860,51,48,2020-07-26
City of Burbank,909,848,51,48,2020-07-25
City of Burbank,905,844,51,48,2020-07-24
City of Burbank,882,823,51,48,2020-07-23
City of Burbank,869,811,51,48,2020-07-22
City of Burbank,856,799,51,48,2020-07-21
City of Burbank,835,779,50,47,2020-07-20
City of Burbank,823,768,50,47,2020-07-19
City of Burbank,813,759,50,47,2020-07-18
City of Burbank,802,748,50,47,2020-07-17
City of Burbank,795,742,50,47,2020-07-16
City of Burbank,788,735,50,47,2020-07-15
City of Burbank,763,712,49,46,2020-07-14
City of Burbank,748,698,48,45,2020-07-13
City of Burbank,725,676,48,45,2020-07-12
City of Burbank,713,665,48,45,2020-07-11
City of Burbank,699,652,48,45,2020-07-10
City of Burbank,678,633,48,45,2020-07-09
City of Burbank,661,617,48,45,2020-07-08
City of Burbank,656,612,48,45,2020-07-07
City of Burbank,645,602,48,45,2020-07-06
City of Burbank,621,579,48,45,2020-07-05
City of Burbank,614,573,48,45,2020-07-04
City of Burbank,NA,NA,48,45,2020-07-03
City of Burbank,NA,NA,48,45,2020-07-02
City of Burbank,590,551,48,45,2020-07-01
City of Burbank,586,547,47,44,2020-06-30
City of Burbank,580,541,47,44,2020-06-29
City of Burbank,568,530,47,44,2020-06-28
City of Burbank,555,518,47,44,2020-06-27
City of Burbank,542,506,47,44,2020-06-26
City of Burbank,536,500,47,44,2020-06-25
City of Burbank,529,494,47,44,2020-06-24
City of Burbank,524,489,47,44,2020-06-23
City of Burbank,519,484,47,44,2020-06-22
City of Burbank,516,481,47,44,2020-06-21
City of Burbank,490,457,45,42,2020-06-20
City of Burbank,480,448,45,42,2020-06-19
City of Burbank,474,442,44,41,2020-06-18
City of Burbank,465,434,44,41,2020-06-17
City of Burbank,463,432,44,41,2020-06-16
City of Burbank,447,417,44,41,2020-06-15
City of Burbank,445,415,44,41,2020-06-14
City of Burbank,443,413,44,41,2020-06-13
City of Burbank,441,412,44,41,2020-06-12
City of Burbank,436,407,42,39,2020-06-11
City of Burbank,431,402,42,39,2020-06-10
City of Burbank,426,398,42,39,2020-06-09
City of Burbank,424,396,42,39,2020-06-08
City of Burbank,419,391,42,39,2020-06-07
City of Burbank,418,390,42,39,2020-06-06
City of Burbank,409,382,42,39,2020-06-05
City of Burbank,408,381,40,37,2020-06-04
City of Burbank,408,381,40,37,2020-06-03
City of Burbank,405,378,39,36,2020-06-02
City of Burbank,405,378,39,36,2020-06-01
City of Burbank,404,377,39,36,2020-05-31
City of Burbank,402,375,39,36,2020-05-30
City of Burbank,399,372,39,36,2020-05-29
City of Burbank,395,369,39,36,2020-05-28
City of Burbank,394,368,39,36,2020-05-27
City of Burbank,393,367,39,36,2020-05-26
City of Burbank,390,364,39,36,2020-05-25
City of Burbank,380,355,39,36,2020-05-24
City of Burbank,371,346,39,36,2020-05-23
City of Burbank,370,345,39,36,2020-05-22
City of Burbank,368,343,39,36,2020-05-21
City of Burbank,363,339,39,36,2020-05-20
City of Burbank,360,336,38,35,2020-05-19
City of Burbank,356,332,38,35,2020-05-18
City of Burbank,350,327,38,35,2020-05-17
City of Burbank,345,322,NA,NA,2020-05-16
City of Burbank,342,319,NA,NA,2020-05-15
City of Burbank,338,315,NA,NA,2020-05-14
City of Burbank,329,307,NA,NA,2020-05-13
City of Burbank,318,297,NA,NA,2020-05-12
City of Burbank,314,293,NA,NA,2020-05-11
City of Burbank,304,284,NA,NA,2020-05-10
City of Burbank,303,283,NA,NA,2020-05-09
City of Burbank,299,279,NA,NA,2020-05-08
City of Burbank,291,272,NA,NA,2020-05-07
City of Burbank,288,269,NA,NA,2020-05-06
City of Burbank,283,264,NA,NA,2020-05-05
City of Burbank,270,252,NA,NA,2020-05-04
City of Burbank,260,243,NA,NA,2020-05-03
City of Burbank,256,239,NA,NA,2020-05-02
City of Burbank,252,235,NA,NA,2020-05-01
City of Burbank,241,225,NA,NA,2020-04-30
City of Burbank,237,221,NA,NA,2020-04-29
City of Burbank,234,218,NA,NA,2020-04-28
City of Burbank,226,211,NA,NA,2020-04-27
City of Burbank,222,207,NA,NA,2020-04-26
City of Burbank,219,204,NA,NA,2020-04-25
City of Burbank,208,194,NA,NA,2020-04-24
City of Burbank,203,189,NA,NA,2020-04-23
City of Burbank,170,159,NA,NA,2020-04-22
City of Burbank,151,141,NA,NA,2020-04-21
City of Burbank,141,132,NA,NA,2020-04-20
City of Burbank,134,125,NA,NA,2020-04-19
City of Burbank,134,125,NA,NA,2020-04-18
City of Burbank,121,113,NA,NA,2020-04-17
City of Burbank,117,109,NA,NA,2020-04-16
City of Burbank,112,105,NA,NA,2020-04-15
City of Burbank,108,101,NA,NA,2020-04-14
City of Burbank,103,96,NA,NA,2020-04-13
City of Burbank,102,95,NA,NA,2020-04-12
City of Burbank,100,93,NA,NA,2020-04-11
City of Burbank,96,90,NA,NA,2020-04-10
City of Burbank,88,82,NA,NA,2020-04-09
City of Burbank,83,77,NA,NA,2020-04-08
City of Burbank,77,72,NA,NA,2020-04-07
City of Burbank,77,72,NA,NA,2020-04-06
City of Burbank,70,65,NA,NA,2020-04-05
City of Burbank,61,57,NA,NA,2020-04-04
City of Burbank,50,47,NA,NA,2020-04-03
City of Burbank,41,38,NA,NA,2020-04-02
City of Burbank,39,36,NA,NA,2020-04-01
City of Burbank,27,25,NA,NA,2020-03-31
City of Burbank,21,20,NA,NA,2020-03-30
City of Burbank,19,18,NA,NA,2020-03-29
City of Burbank,17,16,NA,NA,2020-03-28
City of Burbank,7,7,NA,NA,2020-03-27
City of Burbank,6,6,NA,NA,2020-03-26
City of Burbank,3,3,NA,NA,2020-03-25
City of Burbank,2,2,NA,NA,2020-03-24
City of Burbank,2,2,NA,NA,2020-03-23
City of Burbank,1,1,NA,NA,2020-03-22
City of Burbank,1,1,NA,NA,2020-03-21
City of Burbank,1,1,NA,NA,2020-03-20
City of Burbank,1,1,NA,NA,2020-03-19
City of Burbank,22353,20856,322,300,NA
City of Glendale,44482,21542,868,420,NA
